exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
fteqm_0.60,cifar10,0.6,auto,299,20,9.655010223388672,completed
fteqm_0.60,cifar10,0.6,auto,299,50,8.24875259399414,completed
fteqm_0.60,cifar10,0.6,auto,299,100,7.991522789001465,completed
fteqm_0.60,cifar10,0.6,auto,399,4,32.393699645996094,completed
fteqm_0.60,cifar10,0.6,auto,399,10,12.256415367126465,completed
fteqm_0.60,cifar10,0.6,auto,399,20,9.43687915802002,completed
fteqm_0.60,cifar10,0.6,auto,399,50,9.600403785705566,completed
fteqm_0.60,cifar10,0.6,auto,399,100,8.883320808410645,completed
fteqm_0.60,cifar10,0.6,auto,499,4,37.26297378540039,completed
fteqm_0.60,cifar10,0.6,auto,499,10,12.344377517700195,completed
fteqm_0.60,cifar10,0.6,auto,499,20,8.56714916229248,completed
fteqm_0.60,cifar10,0.6,auto,499,50,7.813150405883789,completed
fteqm_0.60,cifar10,0.6,auto,499,100,7.649815082550049,completed
fteqm_0.70,cifar10,0.7,auto,99,4,124.81218719482422,completed
fteqm_0.70,cifar10,0.7,auto,99,10,32.98223876953125,completed
fteqm_0.70,cifar10,0.7,auto,99,20,20.279325485229492,completed
fteqm_0.70,cifar10,0.7,auto,99,50,18.930042266845703,completed
fteqm_0.70,cifar10,0.7,auto,99,100,19.017061233520508,completed
fteqm_0.70,cifar10,0.7,auto,199,4,158.9252471923828,completed
fteqm_0.70,cifar10,0.7,auto,199,10,35.72080993652344,completed
fteqm_0.70,cifar10,0.7,auto,199,20,16.14128875732422,completed
fteqm_0.70,cifar10,0.7,auto,199,50,11.80399227142334,completed
fteqm_0.70,cifar10,0.7,auto,199,100,11.67795467376709,completed
fteqm_0.70,cifar10,0.7,auto,299,4,146.28976440429688,completed
fteqm_0.70,cifar10,0.7,auto,299,10,20.413705825805664,completed
fteqm_0.70,cifar10,0.7,auto,299,20,10.519930839538574,completed
fteqm_0.70,cifar10,0.7,auto,299,50,9.507634162902832,completed
fteqm_0.70,cifar10,0.7,auto,299,100,9.813058853149414,completed
fteqm_0.70,cifar10,0.7,auto,399,4,163.75872802734375,completed
fteqm_0.70,cifar10,0.7,auto,399,10,22.467605590820312,completed
fteqm_0.70,cifar10,0.7,auto,399,20,13.01867389678955,completed
fteqm_0.70,cifar10,0.7,auto,399,50,8.822661399841309,completed
fteqm_0.70,cifar10,0.7,auto,399,100,8.794269561767578,completed
fteqm_0.70,cifar10,0.7,auto,499,4,181.94046020507812,completed
fteqm_0.70,cifar10,0.7,auto,499,10,27.06926727294922,completed
fteqm_0.70,cifar10,0.7,auto,499,20,12.411250114440918,completed
fteqm_0.70,cifar10,0.7,auto,499,50,7.441108703613281,completed
fteqm_0.70,cifar10,0.7,auto,499,100,7.219369888305664,completed
