exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
fteqm_0.30,cifar10,0.3,auto,399,50,9.38051986694336,completed
fteqm_0.30,cifar10,0.3,auto,399,100,9.580942153930664,completed
fteqm_0.30,cifar10,0.3,auto,499,4,127.82171630859375,completed
fteqm_0.30,cifar10,0.3,auto,499,10,44.589111328125,completed
fteqm_0.30,cifar10,0.3,auto,499,20,22.038631439208984,completed
fteqm_0.30,cifar10,0.3,auto,499,50,10.374911308288574,completed
fteqm_0.30,cifar10,0.3,auto,499,100,8.907140731811523,completed
fteqm_0.30,cifar10,0.3,auto,599,4,95.9047622680664,completed
fteqm_0.30,cifar10,0.3,auto,599,10,30.18222427368164,completed
fteqm_0.30,cifar10,0.3,auto,599,20,13.96168327331543,completed
fteqm_0.30,cifar10,0.3,auto,599,50,7.023258209228516,completed
fteqm_0.30,cifar10,0.3,auto,599,100,7.025383949279785,completed
fteqm_0.30,cifar10,0.3,auto,699,4,103.34050750732422,completed
fteqm_0.30,cifar10,0.3,auto,699,10,33.97553253173828,completed
fteqm_0.30,cifar10,0.3,auto,699,20,16.327312469482422,completed
fteqm_0.30,cifar10,0.3,auto,699,50,7.2737860679626465,completed
fteqm_0.30,cifar10,0.3,auto,699,100,5.709300994873047,completed
fteqm_0.30,cifar10,0.3,auto,799,4,107.8812026977539,completed
fteqm_0.30,cifar10,0.3,auto,799,10,39.90448760986328,completed
fteqm_0.30,cifar10,0.3,auto,799,20,21.977922439575195,completed
fteqm_0.30,cifar10,0.3,auto,799,50,11.219696998596191,completed
fteqm_0.30,cifar10,0.3,auto,799,100,8.329906463623047,completed
fteqm_0.30,cifar10,0.3,auto,899,4,101.16376495361328,completed
fteqm_0.30,cifar10,0.3,auto,899,10,26.47601890563965,completed
fteqm_0.30,cifar10,0.3,auto,899,20,9.486390113830566,completed
fteqm_0.30,cifar10,0.3,auto,899,50,4.938559055328369,completed
fteqm_0.30,cifar10,0.3,auto,899,100,6.111377239227295,completed
fteqm_0.40,cifar10,0.4,auto,99,4,70.41048431396484,completed
fteqm_0.40,cifar10,0.4,auto,99,10,18.67323112487793,completed
fteqm_0.40,cifar10,0.4,auto,99,20,17.05558967590332,completed
fteqm_0.40,cifar10,0.4,auto,99,50,16.60763931274414,completed
fteqm_0.40,cifar10,0.4,auto,99,100,16.181228637695312,completed
fteqm_0.40,cifar10,0.4,auto,199,4,81.84024047851562,completed
fteqm_0.40,cifar10,0.4,auto,199,10,23.3452205657959,completed
fteqm_0.40,cifar10,0.4,auto,199,20,13.277694702148438,completed
fteqm_0.40,cifar10,0.4,auto,199,50,10.6206693649292,completed
