run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group
linear_ft_beta_0_7_euler:ep499:nfe4:fid,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,4,4,12500,12500,fid,252.2576446533203,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe4:is_mean,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,4,4,12500,12500,is_mean,2.5001275539398193,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe4:is_std,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,4,4,12500,12500,is_std,0.02493705041706562,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe10:fid,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,10,10,12500,12500,fid,37.84342575073242,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe10:is_mean,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,10,10,12500,12500,is_mean,7.130534648895264,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe10:is_std,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,10,10,12500,12500,is_std,0.06637986749410629,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe20:fid,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,20,20,12500,12500,fid,16.162220001220703,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe20:is_mean,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,20,20,12500,12500,is_mean,8.058984756469727,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe20:is_std,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,20,20,12500,12500,is_std,0.12604372203350067,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe50:fid,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,50,50,12500,12500,fid,8.9649019241333,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe50:is_mean,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,50,50,12500,12500,is_mean,8.402339935302734,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_euler:ep499:nfe50:is_std,linear_ft_beta_0_7_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,euler,50,50,12500,12500,is_std,0.14642736315727234,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe4:fid,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,4,2,12500,12500,fid,303.1441955566406,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe4:is_mean,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,4,2,12500,12500,is_mean,1.442513108253479,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe4:is_std,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,4,2,12500,12500,is_std,0.0050889840349555016,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe10:fid,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,10,5,12500,12500,fid,56.96077346801758,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe10:is_mean,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,10,5,12500,12500,is_mean,7.032554626464844,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe10:is_std,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,10,5,12500,12500,is_std,0.0639171451330185,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe20:fid,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,20,10,12500,12500,fid,13.25416374206543,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe20:is_mean,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,20,10,12500,12500,is_mean,8.521677017211914,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe20:is_std,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,20,10,12500,12500,is_std,0.10136184096336365,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe50:fid,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,50,25,12500,12500,fid,8.36465835571289,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe50:is_mean,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,50,25,12500,12500,is_mean,8.56623363494873,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_7_heun2:ep499:nfe50:is_std,linear_ft_beta_0_7_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.7,heun2,50,25,12500,12500,is_std,0.11101637035608292,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe4:fid,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,4,4,12500,12500,fid,168.68560791015625,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe4:is_mean,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,4,4,12500,12500,is_mean,3.1598048210144043,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe4:is_std,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,4,4,12500,12500,is_std,0.028835611417889595,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe10:fid,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,10,10,12500,12500,fid,43.3847541809082,completed,ft_clock_solver_sensitivity
